FCLTY_NM,MRHST_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,BLOG_URL,FACEBOOK_URL,INSTGRM_URL,RSTDE_GUID_CN,OPER_TIME,FRE_PARKNG_AT,CHGD_PARKNG_AT,ENTRN_PRICE_AT,ENTRN_POSBL_BN_VALUE,DSPSN_TOILET_AT,NRSGRM_AT,STROLLER_LEND_AT,KIDS_ZONE_AT
001스테이지,,전시/공연,영화/연극/공연,N,서울특별시,종로구,동숭동,,1-115,대학로,116,37.58153269,127.0023365,3086,서울특별시 종로구 대학로 116,서울특별시 종로구 동숭동 1-115,27440015,https://www.00ground.kr/space/reservation,,,,일요일,10:00~19:00,N,N,Y,연령제한없음,N,Y,N,Y
1004섬수석미술관,,전시/공연,전시/기념관,기타전시/박물관,전라남도,신안군,자은면,백산리,633-54,자은서부2길,508-68,34.8800925,125.9968744,58831,전라남도 신안군 자은면 자은서부2길 508-68,전라남도 신안군 자은면 백산리 633-54,612403223,https://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_02,,,,월요일,10:00~17:00,N,N,N,연령제한없음,N,N,N,Y
123 박물관 & 김갑진갤러리,,전시/공연,전시/기념관,기타전시/박물관,전라남도,곡성군,목사동면,대곡리,1041-2,대곡당산길,1,35.11000012,127.262542,57552,전라남도 곡성군 목사동면 대곡당산길 1,전라남도 곡성군 목사동면 대곡리 1041-2,613629004,https://123museum.modoo.at,,,,월요일,10:00~17:00,Y,N,Y,연령제한없음,N,N,N,Y
148아트스퀘어,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상북도,영주시,휴천동,,630,대학로,77,36.80700113,128.6161424,36133,경상북도 영주시 대학로 77,경상북도 영주시 휴천동 630,546308712,http://www.yctf.or.kr/bbs/board.php?bo_table=m203,,https://www.facebook.com/148artsquare/,,"월요일, 명절(일정이 있을 경우는 당일만, 없으면 연휴 전체)",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y
153가족캠프,,문화관광/명소,관광지,N,경기도,과천시,중앙동,,Jul-40,새술막길,44851,37.42870998,126.9911989,13807,경기도 과천시 새술막길 10-17,경기도 과천시 중앙동 40-7,,,,,,,,N,N,N,연령제한없음,N,N,N,Y
168아트스퀘어,,전시/공연,전시/기념관,기타전시/박물관,충청북도,충주시,성서동,,306,예성로,168,36.97189318,127.9336123,27388,충청북도 충주시 예성로 168,충청북도 충주시 성서동 306,50713835009,168artsquare.com,,,,연중무휴,00:00~24:00 개관일정별도공지,Y,Y,N,연령제한없음,N,N,N,Y
2.28민주운동기념회관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,중구,남산동,,Oct-13,2.28길,9,35.85840431,128.5903535,41968,대구광역시 중구 2.28길 9,대구광역시 중구 남산동 2113-10,532572280,https://library.daegu.go.kr/228lib/index.do,,,,월요일,"평일 09:00~19:00, 주말 09:00~17:00",Y,N,N,연령제한없음,Y,Y,N,Y
2001아울렛 구로 어린이 소극장,,전시/공연,영화/연극/공연,N,서울특별시,구로구,고척동,,76-41,중앙로1길,36,37.49807255,126.8626774,8227,서울특별시 구로구 중앙로1길 36,서울특별시 구로구 고척동 76-41,220935093,https://2001gurohall.modoo.at,,,,월요일,10:00 - 22:00,Y,Y,N,연령제한없음,N,Y,N,Y
29아트,,전시/공연,전시/기념관,미술관,경기도,하남시,덕풍동,,762,조정대로,150,37.5535257,127.1946694,12930,경기도 하남시 조정대로 150,경기도 하남시 덕풍동 762,25121029,http://www.29art.com/e/,,,,,,N,N,N,연령제한없음,N,N,N,Y
3.15국립묘지,,전시/공연,전시/기념관,대형기념관/묘역,경상남도,창원시 마산회원구,구암동,,544-1,3.15성역로,75,35.25266875,128.5875347,51204,경상남도 창원시 마산회원구 3.15성역로 75,경상남도 창원시 마산회원구 구암동 544-1,552539315,https://www.mpva.go.kr/315/index.do,,,,"토요일, 국·공휴일","09:00~18:00, [동절기(11~2월)]  09:00~17:00",Y,N,N,연령제한없음,N,N,N,Y
3.15아트센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상남도,창원시 마산회원구,양덕동,,532-3,삼호로,135,35.22581853,128.5771062,51322,경상남도 창원시 마산회원구 삼호로 135,경상남도 창원시 마산회원구 양덕동 532-3,552860315,http://www.cwcf.or.kr/facility/facility_315art.asp,,,,,,Y,N,Y,8세 이상,N,N,N,Y
3.15의거발원지기념관,,전시/공연,전시/기념관,기타전시/박물관,경상남도,창원시 마산합포구,오동동,,165-7,문화의길,54,35.20709,128.5772752,51727,경상남도 창원시 마산합포구 문화의길 54,경상남도 창원시 마산합포구 오동동 165-7,552453150,,https://blog.naver.com/315_changwon,,,월요일,09:00~18:00,N,Y,N,연령제한없음,N,Y,N,Y
